method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold,publication_group,publication_source,publication_country,publication_year
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863192,93.44180929863192,0.0,0.0,0.0,93.44180929863192,93.44180929863192,,2,4.405000000000001,5.237550321764361,-0.4137238729085304,,-2.8333563794577543,4.405000000000001,shared_publication_test,Ref-133-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.9375,0.03749999999999998,93.44180929863195,93.44180929863194,1.414727115369158e-14,0.0,0.0625,102.24979824530205,93.44180929863194,,112,20.47245703666928,25.05497263989858,0.29929828112425805,0.7960136560477127,11.712751267722014,18.238890316700207,shared_publication_test,Ref-144-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863194,93.44180929863194,0.0,0.0,0.0,93.44180929863194,93.44180929863194,,10,17.08441432988119,22.50664042549729,-0.8207428318271408,-0.9472970103410219,-14.656445615539457,10.32031887483312,shared_publication_test,Ref-160-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,0.8333333333333334,-0.06666666666666665,93.44180929863194,93.44180929863194,0.0,0.16666666666666666,0.0,146.11520708049935,93.44180929863194,,6,41.37962443512437,42.77360798230494,-11.40627904194018,0.5451897155473429,-41.37962443512437,38.91860287767872,shared_publication_test,Ref-161-Research,shared_semantic_dataset,,
elastic_net_split_conformal,Elastic Net,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,93.44180929863195,93.44180929863194,1.4210854715202004e-14,0.0,0.0,93.44180929863195,93.44180929863194,,19,19.020346468346464,20.966543591360807,-1.0107912396055143,0.7710746196468501,-18.020687854856465,21.450878573215192,shared_publication_test,Ref-162-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.75,-0.15000000000000002,70.65445294123161,70.65643966685516,0.07956476402168308,0.0,0.25,99.17457020836419,70.733623175312,-0.7999999999999999,4,23.51540660919912,25.63656261506705,-2.919393769459581,0.9895591278739388,23.51540660919912,18.53442913513868,shared_publication_test,Ref-9-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,696.9574147047202,698.2925446404893,617.8963276703831,0.0,0.0,696.9574147047202,698.2925446404893,0.39999999999999997,4,11.28720279926548,14.057748542255432,-2.5129374113818295,0.18604733296949053,9.847168844754982,9.734526467727832,shared_publication_test,Ref-32-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.2628113748319,71.2628113748319,0.005803096730595314,0.0,0.0,71.2628113748319,71.2628113748319,-0.9999999999999999,2,14.555696855918669,15.647808316285351,-0.14554535746063446,1.0,-14.555696855918669,14.555696855918669,shared_publication_test,Ref-33-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.28640351243433,71.28640351243433,0.0,0.0,0.0,71.28640351243433,71.28640351243433,,1,4.6805951523896,4.6805951523896,,,-4.6805951523896,4.6805951523896,shared_publication_test,Ref-35-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.75870219621865,72.05521552007681,0.5599343312232437,0.0,0.0,71.75870219621865,72.05521552007681,-0.19999999999999998,4,16.115887306809206,16.463850480430843,-3.39405669936345,0.9311061690502482,-16.115887306809206,14.47627691103115,shared_publication_test,Ref-44-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.7222222222222222,-0.1777777777777778,75.24817060312411,74.30691979382675,3.1178019197750584,0.08333333333333333,0.19444444444444445,132.71840868533835,75.74199625064622,-0.021614320115555724,72,26.387349766661593,31.272688373417992,-0.2228803417494729,0.32736468267206054,14.832084290454226,23.284960059910887,shared_publication_test,Ref-48-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.4,-0.5,70.49674871454901,70.4556367960223,0.08603435217007681,0.6,0.0,191.46391125853728,118.82266523163969,0.8999999999999998,5,40.51250797218523,41.16075943204245,-20.676152981351986,0.6022230066385298,-40.51250797218523,37.65965555920948,shared_publication_test,Ref-55-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.13864874668893,71.10135254335896,0.09712539037089116,0.0,0.0,71.13864874668893,71.10135254335896,0.48571428571428577,6,6.755464072480248,7.8487982095489475,-0.22662101771674514,0.8675568380553718,5.1276270360100895,6.16231833136775,shared_publication_test,Ref-57-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.875,-0.025000000000000022,71.86523898984632,71.58459447612108,0.5619644020224596,0.125,0.0,99.52714890364128,71.82443527327646,-0.5952380952380953,8,24.726994841195438,27.147607991827115,-44.52850160172451,0.42310713087753177,-24.726994841195438,25.132749837265436,shared_publication_test,Ref-64-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.7333333333333333,-0.16666666666666674,71.31066589239644,71.32432457769875,0.1800508717238424,0.06666666666666667,0.2,98.69216216944055,71.4446186016276,-0.3724247332477255,30,23.255868740186195,27.213582376542995,0.011536172047453497,0.5173024745557813,13.013990986469741,22.984871442129915,shared_publication_test,Ref-65-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,72.456866998549,72.456866998549,0.2595082376668003,0.0,0.0,72.456866998549,72.456866998549,-0.9999999999999999,2,9.859518777656007,10.11895095877433,-4.056452765732343,1.0,9.859518777656007,9.859518777656007,shared_publication_test,Ref-68-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.99034253036282,72.25767355942257,0.605947829611458,0.0,0.0,71.99034253036282,72.25767355942257,0.8999999999999998,5,16.895641567310065,17.187531281954183,-249.37396308789965,0.3155773970050182,16.895641567310065,16.260892581251028,shared_publication_test,Ref-75-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,141.35648311538745,141.35648311538745,70.56337140471362,0.0,0.0,141.35648311538745,141.35648311538745,0.9999999999999999,2,8.592872507463284,9.10150855240582,-8.204161992168476,1.0,8.592872507463284,8.592872507463284,shared_publication_test,Ref-83-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,0.0,-0.9,71.66540508634321,71.66540508634321,1.0500240438168618,0.0,1.0,165.53599734206938,165.53599734206938,0.9999999999999999,2,40.52623215595791,40.52915912656698,-729.0501064473724,1.0,40.52623215595791,40.52623215595791,shared_publication_test,Ref-89-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,71.63689373503094,71.52627974572152,0.27759004850436425,0.0,0.0,71.63689373503094,71.52627974572152,0.19999999999999998,4,6.131088508116541,6.601384487600112,-0.06288480861286305,-0.9079593845004302,0.9233884888886692,7.05447699700521,shared_publication_test,Ref-95-Research,shared_semantic_dataset,,
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,1.0,0.09999999999999998,70.96982367252212,70.96982367252212,0.0,0.0,0.0,70.96982367252212,70.96982367252212,,1,1.9292015341754336,1.9292015341754336,,,-1.9292015341754336,1.9292015341754336,shared_publication_test,Ref-97-Research,shared_semantic_dataset,,
