method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9315068493150684,0.03150684931506842,71.98678476867336,71.20717102137822,3.798208592022167,0.0684931506849315,0.0,84.56540034372645,71.20717102137822,0.07713311634134415,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9863013698630136,0.08630136986301362,99.30460494583566,98.52499119854055,3.798208592022167,0.0136986301369863,0.0,99.9080986644619,98.52499119854055,0.07713311634134415,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.95,0.9315068493150684,-0.018493150684931514,88.76448862076279,88.45029528487275,5.6863813292065934,0.0684931506849315,0.0,98.25569701801481,89.11377572116902,0.012171605758664104,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.95,1.0,0.050000000000000044,128.3023630068781,127.98816967098809,5.6863813292065934,0.0,0.0,128.3023630068781,127.98816967098809,0.012171605758664104,73,24.203779494836244,26.214117110539572,-3.4074120645108845,0.6061470214425221,-24.203779494836244,24.567812357548377,Ref-141-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.4583333333333333,-0.041666666666666685,44.913866720403746,44.913866720403746,0.0,0.08333333333333333,0.4583333333333333,82.16299721355007,53.0735875589051,,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.6527777777777778,-0.14722222222222225,72.1657672296268,72.1657672296268,0.0,0.06944444444444445,0.2777777777777778,108.18836490013024,72.1657672296268,,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.8611111111111112,-0.03888888888888886,95.81380277538722,95.81380277538722,0.0,0.041666666666666664,0.09722222222222222,112.0787640688755,95.81380277538722,,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.95,0.9722222222222222,0.022222222222222254,116.95798159378475,116.95798159378472,2.958225308398898e-14,0.0,0.027777777777777776,121.3438874877231,116.95798159378472,,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.3611111111111111,-0.1388888888888889,31.030752352356654,30.61895215832567,1.2527650743994057,0.1388888888888889,0.5,72.10094087030456,48.395136222383314,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.6805555555555556,-0.11944444444444446,58.95939744915116,58.17696423471233,2.38029272037037,0.08333333333333333,0.2361111111111111,97.92948555099504,59.69654823161139,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8194444444444444,-0.0805555555555556,75.67356737291938,74.66932521425906,3.0550726319339288,0.08333333333333333,0.09722222222222222,111.73709764758286,75.5367431361625,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.9027777777777778,-0.047222222222222165,90.17061713112732,88.97398879260521,3.640343572602366,0.06944444444444445,0.027777777777777776,124.08747948138077,89.60939291331943,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.625,0.125,52.22514937190454,51.532084427798736,2.108419492879144,0.09722222222222222,0.2777777777777778,72.67211768210022,54.21684440991319,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.9027777777777778,0.10277777777777775,90.6282690599276,89.42556735421996,3.6588197715073223,0.06944444444444445,0.027777777777777776,98.88743845790559,90.06419640485774,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9583333333333334,0.05833333333333335,104.59883517423697,103.21073410175703,4.222835658033692,0.041666666666666664,0.0,111.18446085412471,103.74445954503996,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,1.0,0.050000000000000044,133.67357552825388,131.89963193467645,5.3966331492819934,0.0,0.0,133.67357552825388,131.89963193467645,-0.06313775169048118,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research
