,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
,882.00,Type I 52.5 R (C),52.50,199.80,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,725.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,882.00,Type I 52.5 R ©,52.50,155.40,0.00,,0.00,528.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,700.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,819.00,Type I 52.5 R (C),52.50,199.80,0.00,,0.00,484.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,650.00,Silica Sand ,0.60,,,,,,,,,,,,,210,polycarboxylate ether-based superplasticizers (SPs),40,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,800.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,308.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,875.00,Silica Sand ,0.60,,,,,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,133.20,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,875.00,Silica Sand ,0.60,,,,,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,724.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,875.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,111.00,0.00,,0.00,484.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,825.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1071.00,Type I 52.5 R ©,52.50,133.20,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1008.00,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,825.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,945.00,Type I 52.5 R ©,52.50,133.20,0.00,,0.00,176.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,693.00,Type I 52.5 R (C),52.50,133.20,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,975.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,819.00,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,264.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,630.00,Type I 52.5 R (C),52.50,155.40,0.00,,0.00,308.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1100.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,850.50,Type I 52.5 R ©,52.50,155.40,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,750.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),40,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,693.00,Type I 52.5 R (C),52.50,222.00,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,900.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,693.00,Type I 52.5 R ©,52.50,222.00,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,900.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,693.00,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,925.00,Silica Sand ,0.60,,,,,,,,,,,,,170,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,850.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,264.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,800.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,913.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,264.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,775.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,775.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,882.00,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,176.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,750.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,210,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,819.00,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,264.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,199.80,0.00,,0.00,308.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R (C),52.50,222.00,0.00,,0.00,264.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,266.40,0.00,,0.00,176.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,661.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,975.00,Silica Sand ,0.60,,,,,,,,,,,,,160,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,155.40,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,800.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,850.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,775.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,850.50,Type I 52.5 R (C),52.50,155.40,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,775.00,Silica Sand ,0.60,,,,,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,825.00,Silica Sand ,0.60,,,,,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R (C),52.50,133.20,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,850.50,Type I 52.5 R ©,52.50,155.40,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,775.00,Silica Sand ,0.60,,,,,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,724.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,875.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,661.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,975.00,Silica Sand ,0.60,,,,,,,,,,,,,160,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,775.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,693.00,Type I 52.5 R ©,52.50,133.20,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1025.00,Silica Sand ,0.60,,,,,,,,,,,,,160,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,724.50,Type I 52.5 R (C),52.50,199.80,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,875.00,Silica Sand ,0.60,,,,,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,133.20,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,875.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,724.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,900.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,750.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,210,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,825.00,Silica Sand ,0.60,,,,,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,133.20,0.00,,0.00,440.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,850.50,Type I 52.5 R (C),52.50,155.40,0.00,,0.00,352.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,750.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),40,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,264.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,900.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,787.50,Type I 52.5 R (C),52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,750.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,210,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,177.60,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,800.00,Silica Sand ,0.60,Straight Steel Fibers ,74,10.00,0.150,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R (C),52.50,244.20,0.00,,0.00,220.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,850.00,Silica Sand ,0.60,,,,,,,,,,,,,200,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,756.00,Type I 52.5 R ©,52.50,155.40,0.00,,0.00,396.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,825.00,Silica Sand ,0.60,Straight Steel Fibers ,148,10.00,0.150,,,,,,,,,180,polycarboxylate ether-based superplasticizers (SPs),30,Heat Curing ,90,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,782.00,Type I 52.5 R ©,52.50,201.00,0.00,,0.00,138.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,903.00,Silica Sand ,0.60,Straight Steel Fibers ,150,10.00,0.150,,,,,,,,,184,polycarboxylate ether-based superplasticizers (SPs),32,Standard Curing ,20.00,95.00,,ASTM C1437,,195.00,40 X 40 X 40 ,EN 196-1,,,,,,156.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,776.00,Type I 52.5 R ©,52.50,159.00,0.00,,0.00,167.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,936.00,Silica Sand ,0.60,Straight Steel Fibers ,150,10.00,0.150,,,,,,,,,186,polycarboxylate ether-based superplasticizers (SPs),31,Standard Curing ,20.00,95.00,,ASTM C1437,,202.00,40 X 40 X 40 ,EN 196-1,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,800.00,Type I 52.5 R ©,52.50,165.00,0.00,,0.00,178.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,886.00,Silica Sand ,0.60,Straight Steel Fibers ,150,10.00,0.150,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),32,Standard Curing ,20.00,95.00,,ASTM C1437,,205.00,40 X 40 X 40 ,EN 196-1,,,,,,151.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,782.00,Type I 52.5 R ©,52.50,201.00,0.00,,0.00,138.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,903.00,Silica Sand ,0.60,Straight Steel Fibers ,150,10.00,0.150,,,,,,,,,184,polycarboxylate ether-based superplasticizers (SPs),32,Heat Curing ,90.00,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,210.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,776.00,Type I 52.5 R ©,52.50,159.00,0.00,,0.00,167.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,936.00,Silica Sand ,0.60,Straight Steel Fibers ,150,10.00,0.150,,,,,,,,,186,polycarboxylate ether-based superplasticizers (SPs),31,Heat Curing ,90.00,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,205.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,800.00,Type I 52.5 R ©,52.50,165.00,0.00,,0.00,178.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,886.00,Silica Sand ,0.60,Straight Steel Fibers ,150,10.00,0.150,,,,,,,,,190,polycarboxylate ether-based superplasticizers (SPs),32,Heat Curing ,90.00,,,,,,40 X 40 X 40 ,EN 196-1,,,,,,193.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHPC-1,777.42,White cement,,194.50,188.57,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,1165.84,Locally available sand,1.20,,,,,,,,,,,,,178.80729,,28.464,Standard curing ,20,,,ASTM C230/C230M,,289.56,Cylinder 150 x 300,,,,,,,185.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,"Development of Non-Proprietary Ultra-High Performance
Concrete for Use in the Highway Bridge Sector

https://www.fhwa.dot.gov/publications/research/infrastructure/structures/bridge/13100/index.cfm",2013,Ref-145-Research
