original_feature,repeat,baseline_rmse,permuted_rmse,rmse_delta
limestone_powder,5,29.127843361357257,29.15148552116105,0.02364215980379214
limestone_powder,6,29.127843361357257,29.00422410149767,-0.12361925985958777
limestone_powder,7,29.127843361357257,29.11018411984496,-0.01765924151229825
limestone_powder,8,29.127843361357257,29.144959862053025,0.0171165006957672
limestone_powder,9,29.127843361357257,29.16008760733855,0.03224424598129261
limestone_powder,10,29.127843361357257,29.186189830997176,0.0583464696399183
limestone_powder,11,29.127843361357257,29.17401483536793,0.04617147401067356
limestone_powder,12,29.127843361357257,29.07932044588016,-0.04852291547709697
limestone_powder,13,29.127843361357257,29.127326486880094,-0.0005168744771637535
limestone_powder,14,29.127843361357257,29.11347050536262,-0.01437285599463678
limestone_powder,15,29.127843361357257,29.130746032835273,0.002902671478015151
limestone_powder,16,29.127843361357257,29.09095947886056,-0.03688388249669572
limestone_powder,17,29.127843361357257,29.134913321784563,0.007069960427305233
limestone_powder,18,29.127843361357257,29.05330474106794,-0.07453862028931724
limestone_powder,19,29.127843361357257,29.030972427921267,-0.09687093343599074
limestone_powder,20,29.127843361357257,29.182898108656616,0.05505474729935855
limestone_powder,21,29.127843361357257,29.080498522050682,-0.04734483930657518
limestone_powder,22,29.127843361357257,29.172564297609316,0.04472093625205886
limestone_powder,23,29.127843361357257,29.15094224680115,0.02309888544389338
limestone_powder,24,29.127843361357257,29.070867769184765,-0.05697559217249193
limestone_powder,25,29.127843361357257,29.09948688271647,-0.02835647864078794
limestone_powder,26,29.127843361357257,29.105543683118828,-0.022299678238429266
limestone_powder,27,29.127843361357257,29.119273302146137,-0.008570059211120196
limestone_powder,28,29.127843361357257,29.013856395676726,-0.11398696568053168
limestone_powder,29,29.127843361357257,29.1310072507221,0.0031638893648420208
quartz_powder,0,29.127843361357257,29.127843361357257,0.0
quartz_powder,1,29.127843361357257,29.127843361357257,0.0
quartz_powder,2,29.127843361357257,29.127843361357257,0.0
quartz_powder,3,29.127843361357257,29.127843361357257,0.0
quartz_powder,4,29.127843361357257,29.127843361357257,0.0
quartz_powder,5,29.127843361357257,29.127843361357257,0.0
quartz_powder,6,29.127843361357257,29.127843361357257,0.0
quartz_powder,7,29.127843361357257,29.127843361357257,0.0
quartz_powder,8,29.127843361357257,29.127843361357257,0.0
quartz_powder,9,29.127843361357257,29.127843361357257,0.0
quartz_powder,10,29.127843361357257,29.127843361357257,0.0
quartz_powder,11,29.127843361357257,29.127843361357257,0.0
quartz_powder,12,29.127843361357257,29.127843361357257,0.0
quartz_powder,13,29.127843361357257,29.127843361357257,0.0
quartz_powder,14,29.127843361357257,29.127843361357257,0.0
quartz_powder,15,29.127843361357257,29.127843361357257,0.0
quartz_powder,16,29.127843361357257,29.127843361357257,0.0
quartz_powder,17,29.127843361357257,29.127843361357257,0.0
quartz_powder,18,29.127843361357257,29.127843361357257,0.0
quartz_powder,19,29.127843361357257,29.127843361357257,0.0
quartz_powder,20,29.127843361357257,29.127843361357257,0.0
quartz_powder,21,29.127843361357257,29.127843361357257,0.0
quartz_powder,22,29.127843361357257,29.127843361357257,0.0
quartz_powder,23,29.127843361357257,29.127843361357257,0.0
quartz_powder,24,29.127843361357257,29.127843361357257,0.0
quartz_powder,25,29.127843361357257,29.127843361357257,0.0
quartz_powder,26,29.127843361357257,29.127843361357257,0.0
quartz_powder,27,29.127843361357257,29.127843361357257,0.0
quartz_powder,28,29.127843361357257,29.127843361357257,0.0
quartz_powder,29,29.127843361357257,29.127843361357257,0.0
glass_powder,0,29.127843361357257,29.2142718073236,0.08642844596634092
glass_powder,1,29.127843361357257,29.244570513724653,0.11672715236739606
glass_powder,2,29.127843361357257,29.254045086066508,0.12620172470925084
glass_powder,3,29.127843361357257,29.225995544343522,0.09815218298626505
glass_powder,4,29.127843361357257,29.21515194382719,0.08730858246993378
glass_powder,5,29.127843361357257,29.306101949570337,0.1782585882130796
glass_powder,6,29.127843361357257,29.221778348148984,0.09393498679172652
glass_powder,7,29.127843361357257,29.17606975098433,0.0482263896270716
glass_powder,8,29.127843361357257,29.25319363193733,0.1253502705800713
glass_powder,9,29.127843361357257,29.22992861893037,0.10208525757311193
glass_powder,10,29.127843361357257,29.25704920617082,0.129205844813562
glass_powder,11,29.127843361357257,29.292835061463293,0.16499170010603592
glass_powder,12,29.127843361357257,29.19914202096854,0.07129865961128345
glass_powder,13,29.127843361357257,29.236228319597423,0.10838495824016547
glass_powder,14,29.127843361357257,29.277912692495907,0.15006933113864918
glass_powder,15,29.127843361357257,29.233249096879568,0.1054057355223108
glass_powder,16,29.127843361357257,29.282550108327968,0.15470674697071018
glass_powder,17,29.127843361357257,29.238556535253775,0.11071317389651725
glass_powder,18,29.127843361357257,29.250742518161136,0.12289915680387864
glass_powder,19,29.127843361357257,29.290559738006262,0.16271637664900496
glass_powder,20,29.127843361357257,29.259268991625856,0.13142563026859833
glass_powder,21,29.127843361357257,29.234898508511503,0.10705514715424513
glass_powder,22,29.127843361357257,29.221844157726935,0.09400079636967718
glass_powder,23,29.127843361357257,29.283398047977304,0.15555468662004657
glass_powder,24,29.127843361357257,29.262733211980574,0.13488985062331693
glass_powder,25,29.127843361357257,29.21192779840808,0.08408443705082291
glass_powder,26,29.127843361357257,29.264609855275182,0.13676649391792495
glass_powder,27,29.127843361357257,29.188629385030644,0.060786023673387035
glass_powder,28,29.127843361357257,29.180700721511734,0.052857360154476396
glass_powder,29,29.127843361357257,29.241135519056293,0.11329215769903556
rice_husk_ash,0,29.127843361357257,29.244465232313736,0.1166218709564788
rice_husk_ash,1,29.127843361357257,29.21681365738228,0.08897029602502116
rice_husk_ash,2,29.127843361357257,29.197289801865757,0.06944644050850002
rice_husk_ash,3,29.127843361357257,29.26567812761491,0.1378347662576509
rice_husk_ash,4,29.127843361357257,29.189208005358086,0.06136464400082886
rice_husk_ash,5,29.127843361357257,29.16615841212531,0.03831505076805186
rice_husk_ash,6,29.127843361357257,29.232745192776694,0.10490183141943632
rice_husk_ash,7,29.127843361357257,29.162057917466893,0.0342145561096352
rice_husk_ash,8,29.127843361357257,29.197185344361987,0.06934198300472971
rice_husk_ash,9,29.127843361357257,29.139784906412366,0.011941545055108804
rice_husk_ash,10,29.127843361357257,29.134434406249785,0.006591044892527265
rice_husk_ash,11,29.127843361357257,29.119901309547746,-0.007942051809511241
rice_husk_ash,12,29.127843361357257,29.189806284320138,0.06196292296288064
rice_husk_ash,13,29.127843361357257,29.23929787345995,0.11145451210269286
rice_husk_ash,14,29.127843361357257,29.149960489435433,0.02211712807817534
rice_husk_ash,15,29.127843361357257,29.187100493882244,0.0592571325249871
rice_husk_ash,16,29.127843361357257,29.145972491426825,0.018129130069567623
rice_husk_ash,17,29.127843361357257,29.18137512840761,0.053531767050351675
rice_husk_ash,18,29.127843361357257,29.135473850012495,0.007630488655237855
rice_husk_ash,19,29.127843361357257,29.1795165766599,0.05167321530264246
rice_husk_ash,20,29.127843361357257,29.24476269216853,0.11691933081127104
rice_husk_ash,21,29.127843361357257,29.223737667405974,0.09589430604871652
rice_husk_ash,22,29.127843361357257,29.180383928701307,0.05254056734404955
rice_husk_ash,23,29.127843361357257,29.162782770547224,0.03493940918996685
rice_husk_ash,24,29.127843361357257,29.200904543927653,0.07306118257039529
rice_husk_ash,25,29.127843361357257,29.195093249066716,0.06724988770945828
rice_husk_ash,26,29.127843361357257,29.16808294034832,0.040239578991062785
rice_husk_ash,27,29.127843361357257,29.183536645437673,0.05569328408041585
rice_husk_ash,28,29.127843361357257,29.24779964877319,0.11995628741593123
rice_husk_ash,29,29.127843361357257,29.141010197859913,0.013166836502655599
metakaolin,0,29.127843361357257,29.145914191807524,0.018070830450266584
metakaolin,1,29.127843361357257,29.11362405987891,-0.014219301478348711
metakaolin,2,29.127843361357257,29.141178970735552,0.013335609378295032
metakaolin,3,29.127843361357257,29.131850258948084,0.004006897590826952
metakaolin,4,29.127843361357257,29.126786044232098,-0.0010573171251593294
metakaolin,5,29.127843361357257,29.143233387612433,0.015390026255175826
metakaolin,6,29.127843361357257,29.125509863462803,-0.0023334978944546947
metakaolin,7,29.127843361357257,29.128199210521554,0.0003558491642969841
metakaolin,8,29.127843361357257,29.12198713631362,-0.005856225043636698
metakaolin,9,29.127843361357257,29.143031337087567,0.015187975730309944
