cement,cement_type,silica_fume,fly_ash,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,sand,sand_type,sand_max_size,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d
691.0,OPC_52.5,172.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Silica Sand,0.3,187.3,,22.0,Steam Curing,150.0,243.0
828.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,Silica Sand,0.3,224.6,,26.4,Steam Curing,150.0,140.0
824.0,OPC_52.5,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,Silica Sand,0.3,221.8,,26.0,Steam Curing,150.0,212.0
726.0,OPC_52.5,0.0,0.0,0.0,290.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,Silica Sand,0.3,196.9,,23.1,Steam Curing,150.0,167.0
691.0,OPC_52.5,0.0,0.0,0.0,276.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Silica Sand,0.3,187.3,,22.0,Steam Curing,150.0,230.0
833.0,OPC_I,208.25,0.0,0.0,0.0,208.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.54,Locally Available Sand,0.6,183.26,PCE_SP,4.4982,Standard Curing,20.0,192.0
833.0,OPC_I,208.25,0.0,0.0,0.0,208.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.57,Locally Available Sand,0.6,183.26,PCE_SP,4.4982,Standard Curing,20.0,201.0
833.0,OPC_I,208.25,0.0,0.0,0.0,249.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.44,Locally Available Sand,0.6,183.26,PCE_SP,5.9976,Standard Curing,20.0,175.0
833.0,OPC_I,208.25,0.0,0.0,0.0,249.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.44,Locally Available Sand,0.6,183.26,PCE_SP,5.9976,Standard Curing,20.0,171.0
833.0,OPC_I,208.25,0.0,0.0,0.0,208.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.54,Locally Available Sand,0.6,166.6,PCE_SP,5.9976,Standard Curing,20.0,190.0
833.0,OPC_I,208.25,0.0,0.0,0.0,208.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.88,Locally Available Sand,0.6,149.94,PCE_SP,7.497,Standard Curing,20.0,163.0
