Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C)
564.0,"Portland
cement (CEM I 42,5)",42.5,282.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,Bauxite,3.0,Straight  Steel Fiber,234.0,6.0,0.15,125.0,polycarboxylate based superplasticizer (SP),55.0,Steam curing,100.0
317.0,Portland cement (P.I. 42.5),42.5,264.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,Natural River sand,2.36,Straight Steel Fiber,156.0,13.0,0.2,173.0,polycarboxylate-based superplasticizer (SP),21.1,Steam Curing,90.0
754.0,P-II 52.5 cement,52.5,36.0,306.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,Natural River sand,1.25,Straight Steel Fiber,156.0,13.0,0.2,198.0,"polycarboxylic ether based
superplasticizer",33.0,Standard  Curing,20.0
920.0,ordinary Portland cement (PO. 52.5),52.5,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,quartz sand,2.36,Steel Fiber,152.0,13.0,0.2,207.0,polycarboxylate superplasticizer (Sp),17.25,Standard Curing,20.0
1000.0,Ordinary Portland Cement,,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,Silica Sand,0.3,Steel fibres,156.0,13.0,0.22,170.0,Superplasticiser-Sika,70.0,Steam Curing,70.0
788.5,Type 1 Portland cement,,197.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.6,867.4,Silica sand,0.3,Straight Steel Fibers,118.5,13.0,0.2,160.3,polycarboxylate superplasticizer,52.6,steam curing,90.0
923.0769230769228,"ordinary type I Portland cement (OPC, P.O 52.5)",52.5,184.61538461538456,92.30769230769228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.92307692307691,0.0,0.0,0.0,184.61538461538456,1015.3846153846152,Silica sand,2.0,not_applicable,0.0,,,177.2307692307692,"polycarboxylate-based
high-range water-reducing admixture (HRWRA)",16.61538461538461,Standard Curing,20.0
437.0,High sulfate-resistant cement (Type HS cement),,202.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.0,quartz sand,0.6,Steel Fiber,158.0,13.0,0.2,223.0,PCE-based SP,15.9,Standard Normal Curing,23.0
788.0,Portland Cement of Grade 53,53.0,197.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.8,Locally available sand,2.36,Steel fiber,156.0,6.0,0.16,173.0,Poly-Acrylic Ester based type SP,14.77,steam curing,100.0
926.4705882352944,P∙II 52.5 Portland cement (PC),52.5,617.6470588235295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.882352941177,Natural River sand,0.5,PE,19.4,12.0,0.024,355.1470588235295,polycarboxylate superplasticizer from Sika,30.88235294117648,Steam Curing,85.0
890.0,Type I/II ordinary portland cement,,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,Locally available sand,0.6,Straight Steel Fibers,119.0,13.0,0.2,180.0,polycarboxylate based HRWRA,59.0,Standard Curing,
926.4705882352944,"Portland cement (PC, P⋅II 52.5)",52.5,463.23529411764713,0.0,154.41176470588238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.8823529411766,Natural River sand,0.5,PE,19.4,12.0,0.024,355.1470588235295,polycarboxylate superplasticizer from Sika,30.88235294117648,Standard Curing,20.0
400.0,"Portland cement (PC)  with 28 days of compressive strength of
68.9 Mpa",,100.0,250.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,quartz sand,3.0,not_applicable,0.0,,,150.0,superplasticizer with the water reducing,17.0,Steam curing,90.0
439.0,High sulfate-resistant cement (Type HS cement),,102.0,0.0,0.0,110.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,quartz sand,0.6,Steel Fiber,158.0,13.0,0.2,229.0,PCE-based SP,8.0,Standard Normal Curing,23.0
792.0,Portland cement (P.I. 42.5),42.5,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,Natural River sand,2.36,Straight Steel Fiber,156.0,13.0,0.2,173.0,polycarboxylate-based superplasticizer (SP),21.1,Standard Curing,20.0
562.0,High sulfate-resistant cement (Type HS cement),,208.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,quartz sand,0.6,not_applicable,0.0,,,227.0,PCE-based SP,20.4,Standard Normal Curing,23.0
